CONTENT,from_user_description
RT @AAPGujarat: News in Print: AAP protested against #demonetization in Rajula https://t.co/QvuHHAy0nD,???????? ?? ?????? ?? ????? ??? ??? ??.. ????? ?? ???? ????? ???? ? ?????? ??? ??.. #Proud to be Part of AAP family.. RT are Not Endorsement..
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (1/n) https://t.co/Me9ogl2F66,???????? ?? ?????? ?? ????? ??? ??? ??.. ????? ?? ???? ????? ???? ? ?????? ??? ??.. #Proud to be Part of AAP family.. RT are Not Endorsement..
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (2/n) https://t.co/d4eeJgEIiy,???????? ?? ?????? ?? ????? ??? ??? ??.. ????? ?? ???? ????? ???? ? ?????? ??? ??.. #Proud to be Part of AAP family.. RT are Not Endorsement..
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (3/n) https://t.co/Y2VW5jLXdd,???????? ?? ?????? ?? ????? ??? ??? ??.. ????? ?? ???? ????? ???? ? ?????? ??? ??.. #Proud to be Part of AAP family.. RT are Not Endorsement..
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (4/n) https://t.co/QNDDxaJ0uL,???????? ?? ?????? ?? ????? ??? ??? ??.. ????? ?? ???? ????? ???? ? ?????? ??? ??.. #Proud to be Part of AAP family.. RT are Not Endorsement..
"The Egg has been broken to make Omelet Ingredients are ready, pan is on the Stove. But there is no fuel?? https://t.co/m7I9xuhFQQ","If you don't Agree with my tweets, read it again. You might Understand it. Still Disagree? It's OK Even I Disagree with some! #Politics #Gadgets #Tech #Business"
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (5/n) https://t.co/KSQtkRFAvZ,???????? ?? ?????? ?? ????? ??? ??? ??.. ????? ?? ???? ????? ???? ? ?????? ??? ??.. #Proud to be Part of AAP family.. RT are Not Endorsement..
"1/ I thought we Indians r fascinated with odd nums, we speak 100s, 1000s, 100000s but now after #Demonetization we use 200s, 2000s, How does","Sometimes, I venture far off into the desert, then REALITY hits me hard on my head, and I will come back again"
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,Doctor by profession. Social activist by choice. Political activist by compulsion. Patriot by heart. India is my religion.KEONJHAR
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,???????? ?? ?????? ?? ????? ??? ??? ??.. ????? ?? ???? ????? ???? ? ?????? ??? ??.. #Proud to be Part of AAP family.. RT are Not Endorsement..
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (3/n) https://t.co/Y2VW5jLXdd,love what you do
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
"RT @dhume: Moody's is cautiously optimistic on #demonetization: short term pain, but likely medium term gains. https://t.co/8V50cX3jyF",Mostly Tweetless
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
#demonetization #MannKiBaat i'm sure our PM will acknowledge genuinely and deeply 4 hardships public are going through now and pay back well,Supporter of good intentions and actions.
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
RT @SuryahSG: When the pundits were preaching in TV Studios &amp; Social Media against BJP on #Demonetization people of India voted BJP &amp; PM Mo,"??????,???? ?????????????????, ??????????,??????? ??
?????, ??????? ????,ISWA?? ????? ?????,????? ???? ??????, ????? ???? ???? ????????? ??????,???????????,"
"RT @shilpakannan: #Demonetization queues 'almost a throwback to the days of the centrally planned,socialist economy' writes @soutikBBC http",
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (3/n) https://t.co/Y2VW5jLXdd,Fighting for Water as human right
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !","NaMo believer!
Poet ????  Writer (in making) ??? Bookworm ????  Cookie lover ??  True Scorpion ???? Positive thinker ??"
News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,Official Twitter handle of Aam Aadmi Party Gujarat. Helpline No - 7818 810 810
RT @4ushashishekhar: Nandan Nilekani d Cong blue eyed corporate honcho n Architect of Aadhar supports #Demonetization Rahul Gandhi listenin,Hindu
RT @AslamShaikh_MLA: Massive support witnessed against abrupt decision of Gvt for #demonetization on #janakroshdiwas. https://t.co/S2o5tigK,@officeofrg I m common man and want to save my country India from radicalism of any type Muslim or non Muslim . Would love to join @IYC
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (4/n) https://t.co/QNDDxaJ0uL,
RT @alok_bhatt: Leave economics of #DeMonetization aside; the biggest takeaway of #DeMonetisation is that currency isnt that important as w,
That's completely bacillus uses argument on #blackMoneycleanup n  #demonetization https://t.co/qCXVy4rTAQ,"Three keys to more abundant living: caring about others, daring for others, sharing with others."
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (4/n) https://t.co/QNDDxaJ0uL,
@BDUTT This isn't bold enough.Few in BJP were aware since 10 months.Hence 10 months transactions s what needs to b disclosed #demonetization,"..I simply scribble in here..
a Muslim.. an Indian.."
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (4/n) https://t.co/QNDDxaJ0uL,Fighting for Water as human right
News in Print: AAP protests in Gujarat against #demonetization debacle (5/n) https://t.co/KSQtkRFAvZ,Official Twitter handle of Aam Aadmi Party Gujarat. Helpline No - 7818 810 810
News in Print: AAP protests in Gujarat against #demonetization debacle (4/n) https://t.co/QNDDxaJ0uL,Official Twitter handle of Aam Aadmi Party Gujarat. Helpline No - 7818 810 810
News in Print: AAP protests in Gujarat against #demonetization debacle (3/n) https://t.co/Y2VW5jLXdd,Official Twitter handle of Aam Aadmi Party Gujarat. Helpline No - 7818 810 810
RT @alok_bhatt: Leave economics of #DeMonetization aside; the biggest takeaway of #DeMonetisation is that currency isnt that important as w,"Armchair Critic. Questioning, by default.  Trying to make sense of all the noise. RTs + ...? endorsements!"
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (1/n) https://t.co/Me9ogl2F66,
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !","Kattar HINDU...??????? ?????????????......Doing Something good For my Country, But silently????..."
I feel like @ArvindKejriwal ji's status is similar to @SwamiomG in @10BiggBoss house #Demonetization @PriyaSometimes,"Humanitarian Worker, Dreamer, Music and film lover..RTs does not mean my endorsement.."
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http","Believe humanism with justice and fair play is above all. Skeptic & liberal. Bigots will be blocked.  Never felt need to be here before 2015, but now it's time."
News in Print: AAP protests in Gujarat against #demonetization debacle (2/n) https://t.co/d4eeJgEIiy,Official Twitter handle of Aam Aadmi Party Gujarat. Helpline No - 7818 810 810
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (1/n) https://t.co/Me9ogl2F66,
Just when we thought it couldn't et better! #demonetization #OppositionRattled https://t.co/x7mIkF7ndQ,Dentist| Av geek |wannabe F1driver/A380pilot | wanderlust|  marathon runner| foodie|Steve Jobs disciple| not famous enough to need disclaimers for my tweets.
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http","IIM Graduate, Global Citizen, London - Retweets may be endorsement, Favourites may not be endorsements ;-)"
"RT @Work_Insights: Impact of #Currency #Demonetization on #startup &amp; Investors funding them, Hear Prashant Gupta #CEO @zoom_ins_broker http",Learning Network for Young India - Enabling People & Organisations embrace the future of Workplace. Follow @Work_Insights @Mktg_Insights @CareerLaunchpad
RT @bl_saranya: #RBI - No Limit on #Cash #Withdrawals from #Accounts - Starting 29th November !! #DeMonetisationBenefits #demonetization,?|| Suriya || Yuvi || VK || Messi || Fcb || Enfield ||Hummer || Hockey || Kabaddi ||???Mechon???|| ????VIP????|| ??
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (1/n) https://t.co/Me9ogl2F66,
The TMC should support #demonetization partially by supporting withdrawal of 1000 Rs note &amp; also ask for permission to use the old 500 note,"#RealEstate Facilitator, #LandBanking, #Entrepreneur , #InvestorImmigration Expert, #EB5 #visas from #India, for business deals contact my manager @lalitadvani"
"RT @pGurus1: It is upto India's Middle class to make #Demonetization a success, writes S Balakrishnan https://t.co/PjyyaVLkq2 @jgopikrishna",India First ^^^   Views Personal /RTs not Endorsements ^^^^^
RT @AAPGujarat: News in Print: AAP protested against #demonetization in Rajula https://t.co/QvuHHAy0nD,
News in Print: AAP protests in Gujarat against #demonetization debacle (1/n) https://t.co/Me9ogl2F66,Official Twitter handle of Aam Aadmi Party Gujarat. Helpline No - 7818 810 810
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
RT @AAPGujarat: News in Print: AAP protested against #demonetization in Rajula https://t.co/QvuHHAy0nD,"Owner & Administrator of a school, gyming freak well as many people say"
RT @AAPGujarat: News in Print: AAP protested against #demonetization in Rajula https://t.co/QvuHHAy0nD,Bitch.....pls stay away :D
RT @DrGarekar: #????_??????_?????_?? It was code used by Bhakts to warn people before #demonetization https://t.co/Y4o1QIRV97,
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",Account Managed By Me !!
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
RT @AslamShaikh_MLA: Massive support witnessed against abrupt decision of Gvt for #demonetization on #janakroshdiwas. https://t.co/S2o5tigK,"legal advisor of civil & customs, banking, Fema & company/corporate law."
RT @ShashiTharoor: More disquieting news for those who naively hoped that @PMOIndia had done its homework&amp;planning b4 #demonetization:http,I LOVE INDIA Proud Member of Indian National Congress
Amit shah is CAG or CBI ?? #demonetization https://t.co/wHNjbyBfcF,Punjabi  . I Support clean politics. #AAP
News in Print: AAP protested against #demonetization in Rajula https://t.co/QvuHHAy0nD,Official Twitter handle of Aam Aadmi Party Gujarat. Helpline No - 7818 810 810
So @narendramodi ji is influencing the world with his #demonetization plan https://t.co/3Nuyij54qg,"Reports/RT true stuffs, Politically Right! IT Professional. Views here are my own, not my employer's. Blessed to be followed by PM Modiji"
"RT @prasanto: Calvin &amp; Hobbes on #Demonetization, by @krishashok. Brilliant. reposting, with author credit. https://t.co/J41NWIQQAe",FT Alphaville reporter currently sweating in Mumbai. Tweets are mine. Contact: david.keohane@ft.com
"Your Highness, you forgot Mahindra, Nilekeni, Mohandas Pai etc. too. They are also very vocal about this thing call https://t.co/bdIDPioeOq","Tweets and RTs are my own takes. Who cares even if they are endorsements. Live, Laugh, Die, Repeat."
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
RT @SatyendarJain: Huge blow to middle class. Rate of intrest reduced to maximum 4.25% by SBI. #DEMONETIZATION,"I do not believe in the concepts of Nationalism, County, Religion. I believe in humanity. 
RT =! Endorsement, Tweets are personal don't mind them!"
RT @SuryahSG: When the pundits were preaching in TV Studios &amp; Social Media against BJP on #Demonetization people of India voted BJP &amp; PM Mo,"I'm center-right libertarian who admires eastern philosophy, western rationality and discipline. My motto is to imbibe in myself best of the East and the West."
RT @SuryahSG: When the pundits were preaching in TV Studios &amp; Social Media against BJP on #Demonetization people of India voted BJP &amp; PM Mo,"NATION FIRST ?? ?? ?? ??? ?? ?? ?????????? ?? ????? ?? ?? ???? ??? ??, ?? ?? ?????????? ?? ?????? ?? ??? ?? ???? ??? ??, ????? ???????? vs ??????? ?? ?? ??? ??"
"RT @DrKumarVishwas: And the Oscar goes to ""Mr.?????"" ????????#demonetization https://t.co/ObQrhlNSL6",hai
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
RT @SuryahSG: When the pundits were preaching in TV Studios &amp; Social Media against BJP on #Demonetization people of India voted BJP &amp; PM Mo,IT Professional | BJP - 1002407953 | Origin - Patna | A Proud NaMo Bhakt |
RT @SuryahSG: When the pundits were preaching in TV Studios &amp; Social Media against BJP on #Demonetization people of India voted BJP &amp; PM Mo,"When you know that your time is close at hand
Maybe then you'll begin to understand
Life down there is just a strange illusion"
@AashishKhetan BJP should disclose their transactions from the last 10 months @PMOIndia as few were aware of #demonetization since then.,"..I simply scribble in here..
a Muslim.. an Indian.."
RT @AslamShaikh_MLA: Massive support witnessed against abrupt decision of Gvt for #demonetization on #janakroshdiwas. https://t.co/S2o5tigK,I love humanity
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http","Farmer of W-UP,Entrepreneur in W-India,Engineering grad,MBA,like cycling n badminton."
RT @SuryahSG: When the pundits were preaching in TV Studios &amp; Social Media against BJP on #Demonetization people of India voted BJP &amp; PM Mo,Proud Indian ????  Proud Hindu ?? Tech Consultant ? Generalist  Cyber Coolie ? News Junkie ? Support Politics of Development ? Tweets on anything & everything
"Impact of #Currency #Demonetization on #startup &amp; Investors funding them, Hear Prashant Gupta #CEO @zoom_ins_broker https://t.co/1Nsplg6Nm1","Learning Network of #CEO #CHRO & #HR #Leaders in SE Asia region on #Future of #Workplace Follow #WP2020i An Initiative by @CorporatShiksha
#CONNECT #LEARN #GROW"
Is this true?  #whoa!  Lots of people with disproportionate incomes may be in trouble because of this. https://t.co/UJ0UsKPKbH,Exposing #Adarshliberals since 1947 | Observer | Politics & just about everything| No blind bhakti ~ keep your eyes &mind open|  RTs are RTs.
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
Fill your stomach and your wallet. Now withdraw cash from any of our 10 outlets across Mumbai. #Demonetization https://t.co/G5Wk5tgsxO,Customized food in a box. Pan Asian offerings to give you an authentic experience. Satisfy your big appetite now. Available in 10 outlets across Mumbai.
RT @saaxenanurag: #DeMonetization ke side effects!Demonetisation:Demonetisation leads to highest ever surrender of Maoists within a month,
"RT @shilpakannan: #Demonetization queues 'almost a throwback to the days of the centrally planned,socialist economy' writes @soutikBBC http",Let's talk Philosophy
RT @saaxenanurag: #DeMonetization ke side effects!Demonetisation:Demonetisation leads to highest ever surrender of Maoists within a month,Indian.
@ranjank63 @kailashkaushik8 Haha.. @narendramodi should have contacted u before announcing #demonetization For some ppl #BlackMoney is blue!,Ethics is knowing the difference between what you have a right to do and what is right to do.
MP police arrest student for #socialmedia post SHOCKING ! #FOE #Censorship #demonetization @meamabhishek https://t.co/f3thzi93pB,"Wild child, believer, #SocialMedia for #SocialChange, setting up my #SocialSurfing University, #Jeep lover, hate rules, against regulations, #FOE"
RT @4ushashishekhar: Nandan Nilekani d Cong blue eyed corporate honcho n Architect of Aadhar supports #Demonetization Rahul Gandhi listenin,?? ?????? ???.
RT @SuryahSG: When the pundits were preaching in TV Studios &amp; Social Media against BJP on #Demonetization people of India voted BJP &amp; PM Mo,"optimist , Hindu , nationalist , nation first , proud to be followed by our PM & Sri Amit shah"
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
"RT @shilpakannan: #Demonetization queues 'almost a throwback to the days of the centrally planned,socialist economy' writes @soutikBBC http",#respectFreedom #aap is the worst party ever
@TelanganaCMO will push #Cashless #Telangana!#Demonetization https://t.co/HxC1ktkcNI,"Rated :: Most active Twitter Handle for Vizag / Visakhapatnam, #AP's largest City. RTs not our views."
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",Proud Indian
#DeMonetization ke side effects!Demonetisation:Demonetisation leads to highest ever surrender of Maoists within a month 564 in last 28 days,
RT @zapat_wings: Am with #demonetization.Bt wt about a thief who steels 2crore 4m some1 and now can make 1crore white by this scheme #????_,??????  ?????
RT @SuryahSG: When the pundits were preaching in TV Studios &amp; Social Media against BJP on #Demonetization people of India voted BJP &amp; PM Mo,"Extreme Right, Jingoistic, Anti-Islamic. Love Modi, Putin, Trump, Netanyhu"
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
Massive support witnessed against abrupt decision of Gvt for #demonetization on #janakroshdiwas. https://t.co/S2o5tigKx2,Vision of empowerment for all! This is my official Twitter handle .. Stay Connected!!
RT @SuryahSG: When the pundits were preaching in TV Studios &amp; Social Media against BJP on #Demonetization people of India voted BJP &amp; PM Mo,"Project Management Consultant |Interest in Politics, Public Policy,Entertainment & Telecom Industry |Views Personal, RT are not Endorsement |"
"RT @shilpakannan: #Demonetization queues 'almost a throwback to the days of the centrally planned,socialist economy' writes @soutikBBC http",Works with The Economic Times.  Views are personal. Retweets not endorsements. Also tweets at : @iamajmer
"RT @shilpakannan: #Demonetization queues 'almost a throwback to the days of the centrally planned,socialist economy' writes @soutikBBC http",
@ndtv APJ kalam's last tension about INDIA was Lower and upper house.No one take initiative.Its a very big issue for NATION #demonetization,Still empty
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
"RT @prasanto: Calvin &amp; Hobbes on #Demonetization, by @krishashok. Brilliant. reposting, with author credit. https://t.co/J41NWIQQAe",Teleological suspension of the ethical
RT @BadnaamEng: @manakgupta Still they'll b happy exchanging 20-30 %rather than paying 50% fine. Actually #demonetization is a failure. @Ro,"Patriotism is when love of your own people comes first; Nationalism, when hate for people other than your own comes first..choose wisely."
"RT @shilpakannan: #Demonetization queues 'almost a throwback to the days of the centrally planned,socialist economy' writes @soutikBBC http",Mom's Elder Son...
RT @PahwaSandy: Dats true .Before #demonetization it was 7.30 which has been reduced to 4.25 @kapsology @ArvindKejriwal https://t.co/mYZ9WT,"From IIT Delhi,  Full time volunteer in AAP, Managing AAP official Email response team. RT's doesn't mean endorsement."
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",#GujjuDilse
"RT @shilpakannan: #Demonetization queues 'almost a throwback to the days of the centrally planned,socialist economy' writes @soutikBBC http","Dreamer, Social Ninja, Public Relations, Marketing, News Junkie, Political Opinionator, Compulsive Retweeter, Outspoken & Opinionated Aam Aadmi on social media"
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !","Simplicity what describes me best !!! perfectionist on which i am trying to be better...

Proud to be Indian !!!"
#Demonetization. Aaj Govt ne kaha. Ab chori ka paisa Pachchas Tera Pachchas Mera ???? No questions asked  ##PachchasTeraPachchasMera,Ab Main bhi Muqaddar ka Sikandar
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",Talk to me
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
RT @ShashiTharoor: More disquieting news for those who naively hoped that @PMOIndia had done its homework&amp;planning b4 #demonetization:http,"Voice Against Caste Based Reservation
?????? ?????? ??????? ???? 
?????? ????? ???? ???? 
??????? ????? ?????? ?? ??? ?????? ?? ?????? ??????? ???? ?? ????? ???"
I would like to see Amit Shah replaces Urjit Patel. ????#demonetization https://t.co/fteTXCvkD0,Indian
@sudhirchaudhary as after #demonetization we are preferring card payment these Marchant are taking taking extra money on this,Indian
"Charity Begins At Home. Now, the ball is in court of opposition. What #Mamta Di and #Lalu brigade will do ? https://t.co/UXwzucd468",Journalist | Social Media Consultant |  Ex. Curator @AGlobalshapers of @WEF l Fellow at @profellows & @SI_YCF | Raising @urbanvoicesin for Sustainable Cities
"RT @devesh2day: No wonder #Pappu, #Kejri, #Didi &amp; #Behenji are worried. The poor are the biggest beneficiaries of #demonetization. https://",
@ArvindKejriwal is it hurting you that record number of Maoists and Naxalites have surrendered post #demonetization ?,"IIM Grad.Constructive discussions on Politics, Economy,Renewable Energy ?.Trolls must stay away.Abusers to be blocked.RTs not endorsements.FOR #Demonetization"
After #demonetization of currency govt bringing dayby day every new voluntary declration schm agnst blck money ??holdr surprisngly...,
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
"RT @aravindet: MP cops arrest 19-year old #demonetization critic, grab phone, delete tweets; unable to concoct even vaguely legal-sounding","Former General Electric in-house lawyer, now whistleblower against General Electric Company & Railway Corruption in Marhowra Project seema.sapra@gmail.com"
"@vandyemataram @PMOIndia Sir just a short question, is it necessary to kill people for development? Just like #demonetization #2002 riots",Technology is the only way to remove dark corners of the world
"PM Modi asks BJP MPs, MLAs to submit details of their bank account transactions between Nov 8 and Dec 31 #demonetization","Political and Animal Activist, Social Worker, Photographer. Creative VFX Director with Films n Animaiton & a Proud Vegetarian by choice and a Modi Bhakt :)"
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http",
.@ashutosh83B you've killed more people with your English than #demonetization,
RT @4ushashishekhar: Nandan Nilekani d Cong blue eyed corporate honcho n Architect of Aadhar supports #Demonetization Rahul Gandhi listenin,Religion:Indian
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !","Optimist/Secularist/Nationalist || News Junkie || Twitter Addict || Tweets are personal views, not Retweets..."
"RT @Dipankar_cpiml: #DemonetizationDebate demystified: Expropriate the poor, call it #DeMonetization. Destroy livelihood of millions, call",
#Home #Realestate #Demonetization create more Transparency in Real Estate Sectorclick the image for full article https://t.co/iyIftKkM40,"Founded by a group of IIT - IIM graduates, our aim is to empower our customers and create the perfect buying and selling experience. http://t.co/0Ma6Uxls1t ,"
RT @SuryahSG: When the pundits were preaching in TV Studios &amp; Social Media against BJP on #Demonetization people of India voted BJP &amp; PM Mo,"Bharat Mata ki Jai, Jai Hind. Proud Indian. RTs are not endorsements."
"RT @JPNadda: #Demonetization will help us to fight with corruption,counterfeit currency,black money.It will increase transparency #Demoneti",
RT @ShashiTharoor: More disquieting news for those who naively hoped that @PMOIndia had done its homework&amp;planning b4 #demonetization:http,ENGINEERING IN INFORMATION TECHNOLOGY
"RT @prasanto: Calvin &amp; Hobbes on #Demonetization, by @krishashok. Brilliant. reposting, with author credit. https://t.co/J41NWIQQAe",cup of tea ?
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",?????? ?? ?????
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !","Student at Delhi University, New Delhi, India."
#Modi's #demonetization effect https://t.co/SDHDsljq3J,"Nation is First.
Likes?#IndianArmy, @narendramodi, #Doval, @Swamy39, @Sachin_rt, #Viru, @superstarrajini & @Cristiano.
#BharatMataKiJai #VandeMataram"
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http",Happily Married & A Mother To A Lovely Daughter.....:))) & A Huge Fan Of Kushal Gauahar...2gether They Are GAUSHAL.
RT @peter_vas: any chance Amartya Sen can be persuaded to do #AwardWapsi for #Demonetization? Much better protest than wasting time on sill,Mumbaikar. Indian@Heart. Proud of my Hindu Heritage. Tweets are personal opinions on social/political topics.
"RT @miss_kothari: 1 Jawan Dead, 2 Injured. 7th terror attack in the last one week.Solders die: no concern; #demonetization: #OppositionRat","Techie guy whose ambitions are higher than sky! Being a cricket freak, I also keep interest in news. Tasty food is my weakness though
#NetworkEngineer #Telecom"
#Demonetization #Offer !!!Replace your old #ultrasound for #portable_ultrasound unit with offers !!! https://t.co/UN6Q1lMLZz,"INDIA's first DOTmed 100 USA EXPORTER for Refurbished ultrasound scanners, Operating on Sales, Service, Spare & Training.
      Email:joshy@indiaultrasound.com"
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http","musician, designer, hacker, coder,  programmer, guitarist, HTML, CSS, PHP, eCommerce."
Watch the big-mouth Anand Sharma fumbling on #demonetization with Karan Thapar ! It is cleaar that #oppositionrattled,"Please address me as Bhakt !  
Positive Tweets Only !
Negativity will be blocked !"
RT @4ushashishekhar: Nandan Nilekani d Cong blue eyed corporate honcho n Architect of Aadhar supports #Demonetization Rahul Gandhi listenin,"Honoured to be followed by Pm @narendramodi Ji @RakeshSinha01 @abhijeetsinger @nstomar @girirajsinghbjp @TheRahulMahajan
@byadavbjp @upadhyaysbjp @ramkripalmp"
@rmulko @htTweets @MamataOfficial By protesting over #demonetization all corrupt leaders exposed themselves how corrupt they are.,
"@narendramodi sir in sbi v r gttng currency of 100 note only i dnt undrstnd whts d problm with sbi, #demonetization #500note2000note","...unsolved mystery... 

@saurabhraajjain :)

ADMIN? @srjthoughts"
@thewire_in Arrested for terming a proven robber as one who committed suicide for being harassed because of #DeMonetization,?????? - ?????????? ??? ??? ?????? ! ???? ??????? ?? ?????? ???? ????? ??????! President (Marketing) - Reet Software Technologies RTs?Endorsements.
Businesses run by unaccounted money get a death blow in #Vizag. #Demonetization https://t.co/8mJGNzmIDr,"Rated :: Most active Twitter Handle for Vizag / Visakhapatnam, #AP's largest City. RTs not our views."
RT @kanimozhi: Thanks to #demonetization 75% reduction in crime rate in India. Black money seems to be the sole reason 4 all problems in In,
@cpimspeak Harthal helped peoples of tripura and Kerala from #demonetization .Rest of Indians still suffering from #demonetization.,
RT @shobanakamineni: #Demonetization still troubling the young. Just bonded with a digital designer struggling to find cash for a coffee (c,"I am fan of Megastar,MegaPowerstar."
The latest Virendra Singh Rawat! https://t.co/AJW3Z1bx4m Thanks to @tjoseph0010 @IndianSanskriti @PeterWallaceAU #demonetization #indveng,"Proud Indian,From Dehradun Uttrakhand"
"RT @miss_kothari: 1 Jawan Dead, 2 Injured. 7th terror attack in the last one week.Solders die: no concern; #demonetization: #OppositionRat",PhD Scholar ! Jammu university ! Environmentalist ! Indian !
Am with #demonetization.Bt wt about a thief who steels 2crore 4m some1 and now can make 1crore white by this scheme #????_?????_??_???_??,"I hate the sin,not the sinner"
RT @TheDarjChron: I SUPPORT #DEMONETIZATION.Writes: Gyanendra BhandariRead: https://t.co/DXc7m0MbLl https://t.co/Q1syNMDyzL,"Engineer by Profession, Social Worker by Interest, Proud #Gorkha from #Gorkhaland, #JaiGorkha"
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !","Embedded System Design Engineer ... .Interested in New Technology ,sports,films and News"
